"average_salary","programming_languages","experience","age"
"1500 - 1999",4,"4 - 5","26-30"
"1500 - 1999",3,"9+","26-30"
"1500 - 1999",3,"4 - 5","26-30"
"3500 - 3999",4,"9+","41-50"
"1500 - 1999",5,"3 - 4","19-25"
"2000 - 2499",4,"9+","31-40"
"2000 - 2499",5,"4 - 5","19-25"
"3000 - 3499",8,"9+","31-40"
"1500 - 1999",3,"4 - 5","19-25"
"2500 - 2999",4,"4 - 5","31-40"
"2500 - 2999",3,"5 - 6","26-30"
"1000 - 1499",2,"4 - 5","19-25"
"2500 - 2999",4,"9+","31-40"
"<1000",8,"3 - 4","19-25"
"3000 - 3499",7,"9+","31-40"
"1500 - 1999",4,"7 - 8","31-40"
"<1000",2,"9 - 10","26-30"
"2000 - 2499",3,"9 - 10","31-40"
"2500 - 2999",7,"5 - 6","19-25"
"2000 - 2499",4,"9+","31-40"
"3500 - 3999",9,"7 - 8","26-30"
"5000+",6,"9+","26-30"
"1000 - 1499",3,"1 - 2","19-25"
"3500 - 3999",5,"9+","31-40"
"3500 - 3999",9,"9+","26-30"
"2500 - 2999",2,"4 - 5","26-30"
"1500 - 1999",3,"9+","26-30"
"2500 - 2999",9,"3 - 4","19-25"
"3000 - 3499",7,"4 - 5","19-25"
"1500 - 1999",7,"9 - 10","19-25"
"3000 - 3499",5,"5 - 6","26-30"
"2000 - 2499",3,"7 - 8","26-30"
"2000 - 2499",3,"9+","26-30"
"1500 - 1999",6,"3 - 4","19-25"
"1000 - 1499",3,"3 - 4","19-25"
"2000 - 2499",5,"9+","31-40"
"2000 - 2499",5,"9+","31-40"
"4500 - 5000",1,"5 - 6","26-30"
"3000 - 3499",4,"7 - 8","19-25"
"1000 - 1499",2,"3 - 4","19-25"
"1000 - 1499",2,"2 - 3","19-25"
"3000 - 3499",5,"9+","41-50"
"2000 - 2499",4,"5 - 6","31-40"
"2500 - 2999",4,"9+","31-40"
"1000 - 1499",6,"5 - 6","26-30"
"1000 - 1499",1,"4 - 5","26-30"
"1000 - 1499",7,"9+","31-40"
"2000 - 2499",1,"4 - 5","26-30"
"2000 - 2499",3,"1 - 2","19-25"
"2000 - 2499",3,"9 - 10","26-30"
"1000 - 1499",4,"9+","26-30"
"1500 - 1999",5,"7 - 8","19-25"
"2000 - 2499",5,"9+","31-40"
"1000 - 1499",3,"5 - 6","19-25"
"2500 - 2999",7,"9+","31-40"
"2000 - 2499",3,"3 - 4","26-30"
"1500 - 1999",1,"3 - 4","31-40"
"2500 - 2999",7,"9+","26-30"
"2000 - 2499",4,"6 - 7","31-40"
"4500 - 5000",1,"9+","31-40"
"<1000",5,"9+","19-25"
"2000 - 2499",4,"3 - 4","19-25"
"2500 - 2999",4,"7 - 8","26-30"
"5000+",6,"9+","31-40"
"3000 - 3499",2,"6 - 7","26-30"
"2000 - 2499",2,"9+","31-40"
"2000 - 2499",3,"5 - 6","26-30"
"3500 - 3999",6,"9+","26-30"
"1500 - 1999",4,"5 - 6","26-30"
"1500 - 1999",2,"5 - 6","26-30"
"1500 - 1999",4,"9+","31-40"
"2500 - 2999",4,"6 - 7","26-30"
"2000 - 2499",1,"1","41-50"
"2500 - 2999",6,"9 - 10","31-40"
"2000 - 2499",3,"6 - 7","26-30"
"2000 - 2499",4,"7 - 8","26-30"
"3000 - 3499",4,"5 - 6","26-30"
"2500 - 2999",3,"5 - 6","19-25"
"2500 - 2999",8,"9+","31-40"
"1500 - 1999",3,"5 - 6","31-40"
"2000 - 2499",2,"9+","31-40"
"1000 - 1499",4,"7 - 8","19-25"
"1500 - 1999",4,"4 - 5","31-40"
"2000 - 2499",4,"6 - 7","26-30"
"1500 - 1999",2,"9+","41-50"
"5000+",3,"9+","31-40"
"2500 - 2999",2,"9+","31-40"
"2000 - 2499",2,"9+","31-40"
"5000+",9,"9+","26-30"
"2000 - 2499",2,"2 - 3","19-25"
"2000 - 2499",5,"9+","26-30"
"1000 - 1499",3,"2 - 3","26-30"
"1000 - 1499",11,"7 - 8","26-30"
"2500 - 2999",3,"9+","26-30"
"1500 - 1999",3,"4 - 5","19-25"
"1500 - 1999",5,"4 - 5","26-30"
"3000 - 3499",3,"9 - 10","31-40"
"2000 - 2499",3,"9+","31-40"
"2500 - 2999",4,"9+","31-40"
"5000+",3,"9+","31-40"
"2000 - 2499",4,"9+","19-25"
"2000 - 2499",6,"6 - 7","26-30"
"<1000",3,"3 - 4","31-40"
"1000 - 1499",3,"2 - 3","19-25"
"1000 - 1499",3,"9 - 10","26-30"
"2000 - 2499",1,"7 - 8","31-40"
"5000+",12,"9+","31-40"
"2000 - 2499",2,"9+","41-50"
"2500 - 2999",7,"5 - 6","26-30"
"2000 - 2499",4,"9+","31-40"
"3000 - 3499",3,"6 - 7","26-30"
"3000 - 3499",3,"9+","31-40"
"1500 - 1999",7,"3 - 4","19-25"
"2500 - 2999",4,"9+","26-30"
"2000 - 2499",3,"9+","31-40"
"2500 - 2999",2,"5 - 6","19-25"
"1000 - 1499",3,"6 - 7","31-40"
"1500 - 1999",3,"9+","26-30"
"2500 - 2999",4,"9+","31-40"
"2500 - 2999",1,"9+","41-50"
"1000 - 1499",1,"6 - 7","26-30"
"1000 - 1499",3,"9+","31-40"
"1500 - 1999",1,"7 - 8","31-40"
"1500 - 1999",2,"9+","31-40"
"1500 - 1999",4,"5 - 6","26-30"
"4500 - 5000",8,"9+","41-50"
"1000 - 1499",7,"9+","31-40"
"2000 - 2499",9,"9+","31-40"
"1500 - 1999",6,"9+","26-30"
"1500 - 1999",3,"9+","31-40"
"1000 - 1499",4,"4 - 5","31-40"
"2000 - 2499",3,"4 - 5","26-30"
"1500 - 1999",2,"9+","31-40"
"1500 - 1999",2,"9+","31-40"
"4000 - 4499",6,"9+","19-25"
"3000 - 3499",4,"9 - 10","31-40"
"2500 - 2999",2,"6 - 7","26-30"
"2500 - 2999",5,"9+","31-40"
"2500 - 2999",9,"5 - 6","19-25"
"4500 - 5000",3,"9+","41-50"
"1000 - 1499",7,"9+","50+"
"2000 - 2499",4,"9 - 10","31-40"
"2000 - 2499",4,"3 - 4","26-30"
"1500 - 1999",3,"3 - 4","26-30"
"2500 - 2999",6,"4 - 5","19-25"
"2500 - 2999",7,"9+","19-25"
"2500 - 2999",1,"4 - 5","26-30"
"3500 - 3999",1,"9+","26-30"
"2000 - 2499",3,"9+","31-40"
"3500 - 3999",4,"9+","31-40"
"1000 - 1499",4,"2 - 3","19-25"
"2000 - 2499",4,"5 - 6","26-30"
"1000 - 1499",7,"6 - 7","31-40"
"1000 - 1499",4,"1 - 2","19-25"
"2500 - 2999",4,"3 - 4","26-30"
"3000 - 3499",2,"6 - 7","26-30"
"2500 - 2999",3,"9+","31-40"
"2000 - 2499",4,"9+","31-40"
"1000 - 1499",4,"9 - 10","31-40"
"1500 - 1999",4,"3 - 4","31-40"
"2000 - 2499",7,"7 - 8","31-40"
"3000 - 3499",4,"9+","31-40"
"1500 - 1999",7,"5 - 6","26-30"
"1000 - 1499",2,"4 - 5","19-25"
"<1000",7,"9+","26-30"
"2000 - 2499",5,"9+","31-40"
"3000 - 3499",3,"5 - 6","26-30"
"1000 - 1499",5,"6 - 7","26-30"
"3000 - 3499",4,"5 - 6","31-40"
"1500 - 1999",3,"7 - 8","19-25"
"1000 - 1499",4,"3 - 4","26-30"
"1500 - 1999",1,"9+","41-50"
"2000 - 2499",5,"9+","31-40"
"2000 - 2499",3,"1","31-40"
"1000 - 1499",6,"9+","26-30"
"3000 - 3499",1,"5 - 6","31-40"
"2000 - 2499",5,"9+","31-40"
"2000 - 2499",1,"4 - 5","26-30"
"1500 - 1999",5,"6 - 7","26-30"
"1000 - 1499",2,"7 - 8","26-30"
"2000 - 2499",2,"1 - 2","31-40"
"2000 - 2499",3,"7 - 8","26-30"
"1000 - 1499",3,"3 - 4","19-25"
"3000 - 3499",6,"9+","31-40"
"4500 - 5000",1,"9+","26-30"
"1500 - 1999",5,"6 - 7","26-30"
"1500 - 1999",5,"9+","31-40"
"2500 - 2999",6,"9 - 10","19-25"
"3000 - 3499",1,"9+","31-40"
"1500 - 1999",7,"7 - 8","19-25"
"1500 - 1999",4,"7 - 8","31-40"
"2500 - 2999",6,"3 - 4","19-25"
"2000 - 2499",3,"9+","31-40"
"1500 - 1999",3,"5 - 6","19-25"
"5000+",5,"9+","31-40"
"1000 - 1499",4,"2 - 3","19-25"
"2000 - 2499",3,"9+","26-30"
"2500 - 2999",5,"9+","31-40"
"1500 - 1999",4,"9+","26-30"
"2000 - 2499",5,"9+","31-40"
"2000 - 2499",3,"9+","41-50"
"2500 - 2999",8,"9+","31-40"
"3500 - 3999",3,"9+","31-40"
"2000 - 2499",5,"7 - 8","26-30"
"2000 - 2499",2,"6 - 7","26-30"
"2500 - 2999",5,"5 - 6","19-25"
"1500 - 1999",1,"9 - 10","31-40"
"1500 - 1999",7,"4 - 5","31-40"
"3000 - 3499",3,"9+","41-50"
"2500 - 2999",2,"5 - 6","26-30"
"2000 - 2499",4,"9+","31-40"
"2000 - 2499",2,"9 - 10","31-40"
"2500 - 2999",9,"9+","41-50"
"2000 - 2499",4,"9 - 10","26-30"
"2000 - 2499",8,"6 - 7","19-25"
"2000 - 2499",2,"3 - 4","26-30"
"1500 - 1999",4,"4 - 5","26-30"
"1000 - 1499",6,"4 - 5","26-30"
"1500 - 1999",3,"3 - 4","26-30"
"2000 - 2499",8,"4 - 5","26-30"
"2000 - 2499",3,"7 - 8","26-30"
"5000+",7,"9+","31-40"
"4500 - 5000",3,"4 - 5","19-25"
"2500 - 2999",5,"9+","31-40"
"2000 - 2499",5,"9 - 10","31-40"
"3000 - 3499",3,"9+","41-50"
"1500 - 1999",5,"9+","41-50"
"<1000",4,"1","19-25"
"1500 - 1999",5,"6 - 7","26-30"
"2500 - 2999",10,"9+","31-40"
"2000 - 2499",3,"9+","31-40"
"2000 - 2499",1,"9+","31-40"
"2000 - 2499",5,"9+","31-40"
"5000+",9,"9+","31-40"
"2000 - 2499",4,"7 - 8","26-30"
"5000+",5,"9 - 10","31-40"
"2500 - 2999",9,"2 - 3","26-30"
"3000 - 3499",10,"9+","31-40"
"5000+",4,"7 - 8","31-40"
"1500 - 1999",4,"9+","31-40"
"1500 - 1999",4,"9+","31-40"
"2000 - 2499",3,"4 - 5","31-40"
"2500 - 2999",2,"9+","31-40"
"2000 - 2499",8,"1","26-30"
"3500 - 3999",5,"9+","31-40"
"3500 - 3999",6,"9+","31-40"
"1500 - 1999",5,"7 - 8","19-25"
"2000 - 2499",6,"6 - 7","26-30"
"1500 - 1999",7,"9+","31-40"
"1500 - 1999",4,"9+","31-40"
"3000 - 3499",4,"5 - 6","31-40"
"1500 - 1999",1,"9+","50+"
"<1000",7,"4 - 5","19-25"
"1500 - 1999",1,"1","31-40"
"1500 - 1999",3,"4 - 5","26-30"
"2000 - 2499",5,"9+","31-40"
"1500 - 1999",4,"9+","31-40"
"1500 - 1999",5,"9+","26-30"
"3000 - 3499",5,"6 - 7","26-30"
"2500 - 2999",4,"9+","31-40"
"1500 - 1999",6,"9 - 10","26-30"
"1500 - 1999",8,"5 - 6","19-25"
"2500 - 2999",7,"9+","26-30"
"3500 - 3999",6,"9+","31-40"
"1500 - 1999",6,"4 - 5","26-30"
"<1000",1,"1","31-40"
"1500 - 1999",4,"7 - 8","26-30"
"5000+",7,"9+","31-40"
"1500 - 1999",2,"5 - 6","31-40"
"<1000",7,"9+","26-30"
"1500 - 1999",10,"9+","26-30"
"2500 - 2999",7,"9 - 10","26-30"
"2500 - 2999",4,"6 - 7","31-40"
"1000 - 1499",7,"5 - 6","26-30"
"2000 - 2499",4,"5 - 6","26-30"
"1500 - 1999",8,"9+","26-30"
"4000 - 4499",12,"9+","31-40"
"1500 - 1999",4,"4 - 5","26-30"
"2000 - 2499",4,"9+","31-40"
"1000 - 1499",6,"9 - 10","26-30"
"2000 - 2499",8,"9+","41-50"
"1500 - 1999",5,"9+","31-40"
"1500 - 1999",4,"2 - 3","31-40"
"2500 - 2999",7,"6 - 7","26-30"
"1500 - 1999",8,"9 - 10","19-25"
"1000 - 1499",2,"6 - 7","19-25"
"2000 - 2499",3,"9+","19-25"
"2500 - 2999",5,"2 - 3","19-25"
"2500 - 2999",7,"9+","26-30"
"2000 - 2499",4,"9+","26-30"
"2500 - 2999",5,"9+","41-50"
"1500 - 1999",4,"9+","41-50"
"2500 - 2999",5,"4 - 5","26-30"
"1500 - 1999",4,"4 - 5","31-40"
"2000 - 2499",7,"5 - 6","19-25"
"2000 - 2499",9,"9+","26-30"
"1500 - 1999",1,"4 - 5","26-30"
"2000 - 2499",5,"7 - 8","19-25"
"1500 - 1999",6,"2 - 3","26-30"
"1500 - 1999",2,"9 - 10","31-40"
"3000 - 3499",4,"9+","31-40"
"4000 - 4499",5,"9+","26-30"
"4000 - 4499",4,"9+","31-40"
"3000 - 3499",3,"9+","31-40"
"3000 - 3499",4,"9+","41-50"
"2500 - 2999",6,"5 - 6","26-30"
"2500 - 2999",5,"6 - 7","26-30"
"2500 - 2999",1,"5 - 6","41-50"
"3500 - 3999",5,"9+","19-25"
"3000 - 3499",4,"9+","41-50"
"4500 - 5000",5,"9+","31-40"
"2500 - 2999",5,"9+","31-40"
"2000 - 2499",6,"9+","26-30"
"4500 - 5000",2,"9+","31-40"
"1000 - 1499",6,"6 - 7","19-25"
"1500 - 1999",4,"9 - 10","31-40"
"2000 - 2499",1,"2 - 3","26-30"
"3500 - 3999",8,"9+","31-40"
"1000 - 1499",5,"6 - 7","19-25"
"1500 - 1999",5,"6 - 7","26-30"
"5000+",6,"9+","31-40"
"1500 - 1999",4,"6 - 7","26-30"
"3000 - 3499",5,"9+","26-30"
"4500 - 5000",7,"9+","31-40"
"2000 - 2499",3,"7 - 8","31-40"
"1000 - 1499",6,"3 - 4","19-25"
"1500 - 1999",5,"2 - 3","19-25"
"1000 - 1499",5,"5 - 6","19-25"
"3000 - 3499",11,"9+","26-30"
"1000 - 1499",5,"3 - 4","19-25"
"3000 - 3499",1,"9+","31-40"
"<1000",4,"9+","31-40"
"2000 - 2499",5,"7 - 8","31-40"
"3000 - 3499",3,"9+","31-40"
"<1000",5,"3 - 4","19-25"
"5000+",9,"9+","31-40"
"1000 - 1499",6,"7 - 8","26-30"
"2500 - 2999",7,"9 - 10","19-25"
"2500 - 2999",4,"7 - 8","26-30"
"1500 - 1999",5,"5 - 6","26-30"
"2500 - 2999",8,"6 - 7","26-30"
"1500 - 1999",4,"7 - 8","31-40"
"1000 - 1499",3,"1","26-30"
"2000 - 2499",10,"9+","31-40"
"2000 - 2499",4,"9 - 10","26-30"
"2000 - 2499",2,"7 - 8","31-40"
"2000 - 2499",4,"9 - 10","41-50"
"1500 - 1999",8,"9 - 10","26-30"
"2000 - 2499",5,"3 - 4","26-30"
"2500 - 2999",4,"9 - 10","31-40"
"3500 - 3999",7,"9+","26-30"
"1500 - 1999",4,"4 - 5","26-30"
"4500 - 5000",9,"9+","41-50"
"3000 - 3499",4,"7 - 8","26-30"
"<1000",3,"2 - 3","26-30"
"2000 - 2499",4,"9 - 10","31-40"
"1000 - 1499",9,"9+","26-30"
"1500 - 1999",11,"9+","31-40"
"2000 - 2499",3,"4 - 5","19-25"
"1000 - 1499",5,"9+","31-40"
"1500 - 1999",7,"6 - 7","19-25"
"2000 - 2499",7,"9+","31-40"
"1500 - 1999",5,"3 - 4","19-25"
"3000 - 3499",4,"9+","31-40"
"2000 - 2499",4,"5 - 6","26-30"
"2000 - 2499",5,"9+","26-30"
"2000 - 2499",4,"5 - 6","19-25"
"2000 - 2499",1,"9+","31-40"
"1000 - 1499",4,"6 - 7","31-40"
"2000 - 2499",1,"5 - 6","26-30"
"1500 - 1999",8,"9+","26-30"
"2500 - 2999",6,"9+","26-30"
"3000 - 3499",6,"9+","31-40"
"3500 - 3999",4,"9 - 10","26-30"
"2000 - 2499",7,"9+","31-40"
"3500 - 3999",7,"9+","41-50"
"1500 - 1999",5,"2 - 3","26-30"
"3000 - 3499",6,"9+","31-40"
"5000+",9,"9+","31-40"
"2500 - 2999",10,"9+","26-30"
"1500 - 1999",5,"9+","31-40"
"3500 - 3999",5,"9+","31-40"
"2000 - 2499",7,"9+","26-30"
"2000 - 2499",7,"9+","26-30"
"1500 - 1999",8,"6 - 7","26-30"
"2500 - 2999",6,"9+","31-40"
"2500 - 2999",9,"6 - 7","31-40"
"1000 - 1499",9,"9+","31-40"
"2000 - 2499",5,"9+","31-40"
"1500 - 1999",4,"9+","26-30"
"1500 - 1999",4,"4 - 5","26-30"
"1500 - 1999",10,"9+","31-40"
"2000 - 2499",7,"5 - 6","19-25"
"2500 - 2999",1,"9+","31-40"
"2000 - 2499",3,"9 - 10","26-30"
"2000 - 2499",3,"9+","31-40"
"4000 - 4499",8,"9+","31-40"
"4500 - 5000",1,"9+","31-40"
"3000 - 3499",2,"3 - 4","26-30"
"1500 - 1999",3,"1","26-30"
"1000 - 1499",5,"2 - 3","19-25"
"1000 - 1499",2,"4 - 5","26-30"
"2000 - 2499",6,"9+","31-40"
"2500 - 2999",5,"9+","41-50"
"3500 - 3999",5,"9+","31-40"
"2500 - 2999",8,"9+","41-50"
"1500 - 1999",1,"9+","50+"
"2000 - 2499",3,"7 - 8","31-40"
"2500 - 2999",2,"9+","31-40"
"2500 - 2999",2,"7 - 8","31-40"
"3000 - 3499",7,"6 - 7","31-40"
"2000 - 2499",6,"3 - 4","26-30"
"<1000",3,"2 - 3","31-40"
"2500 - 2999",2,"9 - 10","31-40"
"2000 - 2499",6,"9+","26-30"
"1000 - 1499",3,"4 - 5","26-30"
"1500 - 1999",5,"9 - 10","26-30"
"2500 - 2999",4,"9 - 10","26-30"
"1500 - 1999",8,"5 - 6","26-30"
"2500 - 2999",2,"9+","50+"
"3000 - 3499",7,"9+","31-40"
"2000 - 2499",5,"4 - 5","31-40"
"2000 - 2499",5,"9+","41-50"
"3000 - 3499",2,"9+","26-30"
"1000 - 1499",3,"1 - 2","19-25"
"1500 - 1999",7,"9+","31-40"
"2000 - 2499",2,"5 - 6","31-40"
"5000+",1,"9+","31-40"
"2000 - 2499",4,"9+","31-40"
"2000 - 2499",4,"4 - 5","31-40"
"2500 - 2999",5,"9+","31-40"
"3500 - 3999",4,"5 - 6","31-40"
"2000 - 2499",2,"9+","41-50"
"1500 - 1999",3,"3 - 4","19-25"
"3000 - 3499",4,"9+","31-40"
"2500 - 2999",5,"9+","31-40"
"3500 - 3999",9,"9+","41-50"
"3000 - 3499",8,"9+","41-50"
"1000 - 1499",9,"9+","31-40"
"1000 - 1499",4,"4 - 5","26-30"
"1000 - 1499",5,"4 - 5","26-30"
"1500 - 1999",7,"9 - 10","26-30"
"1500 - 1999",5,"4 - 5","26-30"
"1500 - 1999",4,"7 - 8","31-40"
"3000 - 3499",5,"9+","31-40"
"2000 - 2499",8,"9+","31-40"
"2000 - 2499",2,"9+","31-40"
"2000 - 2499",4,"9+","31-40"
"2500 - 2999",5,"9+","31-40"
"2000 - 2499",4,"3 - 4","26-30"
"4000 - 4499",4,"9+","31-40"
"1500 - 1999",1,"3 - 4","26-30"
"5000+",6,"9+","41-50"
"1000 - 1499",5,"9+","31-40"
"2000 - 2499",4,"6 - 7","31-40"
"1000 - 1499",1,"1","26-30"
"<1000",11,"9+","31-40"
"1000 - 1499",4,"3 - 4","19-25"
"4000 - 4499",9,"9+","31-40"
"1000 - 1499",5,"9+","31-40"
"5000+",2,"9+","31-40"
"1500 - 1999",5,"2 - 3","19-25"
"3000 - 3499",4,"4 - 5","31-40"
"2500 - 2999",7,"9+","31-40"
"1000 - 1499",3,"1 - 2","26-30"
"<1000",7,"6 - 7","26-30"
"1000 - 1499",6,"6 - 7","19-25"
"5000+",5,"9+","31-40"
"4000 - 4499",8,"9+","31-40"
"1500 - 1999",5,"7 - 8","26-30"
"2000 - 2499",2,"5 - 6","31-40"
"1500 - 1999",7,"4 - 5","26-30"
"2000 - 2499",4,"9+","41-50"
"1500 - 1999",10,"9 - 10","19-25"
"<1000",9,"3 - 4","19-25"
"1500 - 1999",7,"9 - 10","19-25"
"1000 - 1499",5,"3 - 4","19-25"
"4000 - 4499",6,"9+","31-40"
"3000 - 3499",2,"5 - 6","26-30"
"3500 - 3999",6,"9+","31-40"
"2000 - 2499",8,"6 - 7","26-30"
"2500 - 2999",4,"5 - 6","26-30"
"3500 - 3999",7,"9+","50+"
"2000 - 2499",4,"1 - 2","19-25"
"2000 - 2499",6,"2 - 3","19-25"
"3000 - 3499",6,"7 - 8","31-40"
"2500 - 2999",5,"9+","26-30"
"1000 - 1499",5,"5 - 6","26-30"
"3000 - 3499",4,"9+","50+"
"3000 - 3499",5,"9+","31-40"
"1000 - 1499",4,"6 - 7","26-30"
"3000 - 3499",6,"9+","31-40"
"2500 - 2999",9,"9+","26-30"
"3000 - 3499",4,"9+","31-40"
"1500 - 1999",8,"4 - 5","19-25"
"3000 - 3499",3,"7 - 8","26-30"
"1500 - 1999",5,"7 - 8","26-30"
"1000 - 1499",5,"6 - 7","26-30"
"2000 - 2499",9,"9 - 10","31-40"
"1500 - 1999",4,"9+","31-40"
"2500 - 2999",5,"9+","31-40"
"1000 - 1499",4,"2 - 3","19-25"
"3500 - 3999",1,"2 - 3","31-40"
"1000 - 1499",4,"1 - 2","26-30"
"4500 - 5000",9,"9+","41-50"
"2500 - 2999",1,"9+","31-40"
"2000 - 2499",8,"3 - 4","19-25"
"1500 - 1999",8,"9+","19-25"
"3500 - 3999",3,"9+","31-40"
"2500 - 2999",8,"9+","31-40"
"1500 - 1999",8,"9+","31-40"
"1500 - 1999",5,"9+","31-40"
"3000 - 3499",6,"9+","31-40"
"2000 - 2499",1,"1","26-30"
"1500 - 1999",2,"1 - 2","19-25"
"3500 - 3999",2,"6 - 7","31-40"
"2000 - 2499",4,"9+","31-40"
"2000 - 2499",5,"9+","31-40"
"4500 - 5000",3,"9+","26-30"
"1500 - 1999",2,"2 - 3","26-30"
"2000 - 2499",1,"1 - 2","31-40"
"1000 - 1499",5,"1","26-30"
"1500 - 1999",5,"9+","26-30"
"1500 - 1999",5,"4 - 5","19-25"
"2500 - 2999",11,"7 - 8","26-30"
"1000 - 1499",3,"2 - 3","26-30"
"2500 - 2999",2,"9 - 10","26-30"
"2000 - 2499",5,"9+","19-25"
"1500 - 1999",6,"9+","26-30"
"5000+",5,"7 - 8","26-30"
"1500 - 1999",5,"5 - 6","19-25"
"1500 - 1999",10,"3 - 4","26-30"
"2500 - 2999",7,"9+","26-30"
"3500 - 3999",6,"9+","31-40"
"2000 - 2499",3,"3 - 4","19-25"
"1000 - 1499",6,"2 - 3","26-30"
"1500 - 1999",6,"7 - 8","26-30"
"3000 - 3499",5,"9+","26-30"
"5000+",1,"9+","31-40"
"1500 - 1999",5,"9 - 10","31-40"
"2500 - 2999",7,"9+","31-40"
"1500 - 1999",5,"9+","31-40"
"4000 - 4499",3,"9+","31-40"
"3500 - 3999",9,"9+","31-40"
"1000 - 1499",1,"9+","41-50"
"3000 - 3499",2,"1","31-40"
"1500 - 1999",4,"3 - 4","26-30"
"1500 - 1999",4,"9+","26-30"
"2500 - 2999",2,"7 - 8","26-30"
"1000 - 1499",5,"6 - 7","26-30"
"2000 - 2499",3,"5 - 6","26-30"
"1500 - 1999",5,"1 - 2","19-25"
"1000 - 1499",3,"9+","26-30"
"2000 - 2499",8,"7 - 8","19-25"
"2000 - 2499",2,"5 - 6","26-30"
"3500 - 3999",3,"9+","31-40"
"1500 - 1999",4,"7 - 8","26-30"
"2000 - 2499",4,"6 - 7","26-30"
"1500 - 1999",3,"9 - 10","31-40"
"1500 - 1999",4,"9+","19-25"
"4500 - 5000",9,"5 - 6","19-25"
"1000 - 1499",1,"1 - 2","19-25"
"4000 - 4499",4,"6 - 7","31-40"
"4500 - 5000",3,"9+","31-40"
"1500 - 1999",2,"9 - 10","26-30"
"3500 - 3999",1,"5 - 6","26-30"
"2000 - 2499",4,"3 - 4","26-30"
"2000 - 2499",3,"5 - 6","26-30"
"2000 - 2499",6,"6 - 7","26-30"
"2500 - 2999",3,"3 - 4","31-40"
"2000 - 2499",3,"7 - 8","26-30"
"2000 - 2499",4,"9+","31-40"
"2000 - 2499",3,"4 - 5","26-30"
"1500 - 1999",6,"9+","26-30"
"2000 - 2499",5,"5 - 6","26-30"
"<1000",3,"1","31-40"
"1500 - 1999",6,"9+","41-50"
"1000 - 1499",6,"4 - 5","31-40"
"2000 - 2499",6,"6 - 7","26-30"
"1500 - 1999",6,"5 - 6","26-30"
"3500 - 3999",7,"9+","26-30"
"2000 - 2499",4,"3 - 4","26-30"
"1500 - 1999",6,"2 - 3","26-30"
"2000 - 2499",3,"9+","31-40"
"1000 - 1499",5,"6 - 7","19-25"
"1500 - 1999",3,"4 - 5","26-30"
"1500 - 1999",7,"5 - 6","19-25"
"1500 - 1999",2,"4 - 5","31-40"
"2000 - 2499",8,"9+","31-40"
"2000 - 2499",9,"9+","31-40"
"1500 - 1999",4,"6 - 7","31-40"
